Time,Open,High,Low,Close
21/02/2024,0.65476,0.65728,0.65329,0.65506
22/02/2024,0.65499,0.65948,0.65401,0.65567
23/02/2024,0.65566,0.65803,0.65489,0.65629
26/02/2024,0.6565,0.65666,0.65306,0.65376
27/02/2024,0.65394,0.65577,0.65245,0.65418
28/02/2024,0.6543,0.65493,0.64881,0.64921
29/02/2024,0.64946,0.65309,0.64867,0.64947
01/03/2024,0.64963,0.65336,0.6489,0.65241
04/03/2024,0.65201,0.6535,0.65061,0.65081
05/03/2024,0.65113,0.65207,0.64772,0.64989
06/03/2024,0.64958,0.65812,0.64922,0.65622
07/03/2024,0.65628,0.66244,0.65598,0.66176
08/03/2024,0.66193,0.66675,0.66128,0.66229
11/03/2024,0.6623,0.66264,0.65965,0.66102
12/03/2024,0.66102,0.66387,0.65842,0.6605
13/03/2024,0.66051,0.6635,0.65999,0.66198
14/03/2024,0.66201,0.66315,0.65692,0.6579
15/03/2024,0.6579,0.65812,0.65519,0.65589
18/03/2024,0.65582,0.65737,0.655,0.65559
19/03/2024,0.65559,0.65637,0.65039,0.65304
20/03/2024,0.65303,0.65869,0.65115,0.65792
21/03/2024,0.65792,0.66344,0.6561,0.65686
22/03/2024,0.65686,0.65766,0.65101,0.65129
25/03/2024,0.65125,0.65468,0.65098,0.65383
26/03/2024,0.65383,0.6559,0.65302,0.65315
27/03/2024,0.65326,0.65383,0.65111,0.65305
28/03/2024,0.65306,0.65406,0.64852,0.65127
29/03/2024,0.65127,0.65327,0.65026,0.6514
01/04/2024,0.6518,0.65386,0.64806,0.64885
02/04/2024,0.64887,0.65238,0.64753,0.65173
03/04/2024,0.65173,0.65696,0.64996,0.65637
04/04/2024,0.65637,0.66188,0.65544,0.65873
05/04/2024,0.6587,0.6592,0.65491,0.65783
08/04/2024,0.65709,0.66098,0.65593,0.66035
09/04/2024,0.66027,0.66441,0.6598,0.66279
10/04/2024,0.66278,0.6631,0.64986,0.6512
11/04/2024,0.65118,0.65528,0.65017,0.65372
12/04/2024,0.65374,0.6543,0.64559,0.64616
15/04/2024,0.647,0.6493,0.64375,0.64414
16/04/2024,0.64395,0.6444,0.63891,0.64009
17/04/2024,0.6401,0.6446,0.63962,0.64343
18/04/2024,0.64317,0.64562,0.64163,0.64209
19/04/2024,0.64187,0.64327,0.63619,0.64166
22/04/2024,0.64076,0.64548,0.64045,0.64489
23/04/2024,0.64489,0.64899,0.6441,0.64863
24/04/2024,0.64841,0.65293,0.64712,0.64971
25/04/2024,0.64964,0.65389,0.64847,0.65179
26/04/2024,0.65179,0.65538,0.65135,0.65326
29/04/2024,0.6524,0.65864,0.65165,0.65657
30/04/2024,0.65656,0.65672,0.64711,0.64721
01/05/2024,0.64728,0.65399,0.64651,0.65223
02/05/2024,0.65219,0.65731,0.65128,0.65646
03/05/2024,0.65614,0.66485,0.65596,0.66088
06/05/2024,0.6616,0.66381,0.66025,0.66248
07/05/2024,0.66246,0.66435,0.65866,0.6597
08/05/2024,0.65967,0.65985,0.65577,0.65786
09/05/2024,0.65786,0.66206,0.65652,0.66193
10/05/2024,0.66191,0.66226,0.65961,0.66034
